timestamp,engine_rpm,coolant_temp_c,oil_pressure_kpa,battery_voltage_v,exhaust_gas_temp_c,oil_particulate_ppm,exhaust_nox_ppm,vibration_rms_g,wave_height_m,heading_deg,wind_direction_deg,wind_speed_kn
2025-07-01T06:00:00+00:00,1058.6,77.47,356.7,14.17,347.4,24.3,537.4,0.0549,0.89,72.1,162.1,11.2
2025-07-01T06:01:00+00:00,948.9,78.74,353.2,13.88,334.5,22.5,484.1,0.0563,1.01,72.1,162.1,11.2
2025-07-01T06:02:00+00:00,1038.8,77.70,342.9,13.88,360.5,22.8,563.0,0.0543,0.91,72.1,162.1,12.5
2025-07-01T06:03:00+00:00,982.7,79.42,351.0,13.59,371.6,23.3,572.6,0.0553,1.05,72.1,162.1,12.8
2025-07-01T06:04:00+00:00,1023.8,78.89,360.2,13.78,336.8,19.4,539.2,0.0548,0.98,72.1,162.1,10.5
2025-07-01T06:05:00+00:00,973.8,76.42,348.6,13.68,386.3,22.6,543.1,0.0612,0.93,72.1,162.1,12.2
2025-07-01T06:06:00+00:00,1046.0,77.08,359.1,13.90,361.1,19.6,601.1,0.0602,1.01,72.1,162.1,12.4
2025-07-01T06:07:00+00:00,966.9,80.63,361.7,13.82,340.0,23.4,524.8,0.0553,1.06,72.1,162.1,9.6
2025-07-01T06:08:00+00:00,1135.3,80.28,333.2,13.84,364.9,20.3,554.5,0.0551,0.97,72.1,162.1,12.4
2025-07-01T06:09:00+00:00,856.0,78.94,347.5,13.93,322.0,21.4,574.3,0.0557,1.02,72.1,162.1,11.6
2025-07-01T06:10:00+00:00,2244.0,81.65,352.3,13.94,393.9,22.4,595.2,0.0617,1.02,72.1,162.1,10.2
2025-07-01T06:11:00+00:00,1846.4,81.19,352.7,13.62,381.2,21.4,597.7,0.0686,0.88,72.1,162.1,13.6
2025-07-01T06:12:00+00:00,1743.2,81.80,338.5,13.62,357.8,20.6,572.2,0.0586,0.98,72.1,162.1,10.9
2025-07-01T06:13:00+00:00,2127.9,84.25,359.1,13.82,394.4,25.0,630.4,0.0609,1.00,72.1,162.1,11.2
2025-07-01T06:14:00+00:00,2032.3,83.12,345.1,13.85,383.3,22.3,564.9,0.0678,0.93,72.1,162.1,12.0
2025-07-01T06:15:00+00:00,1750.1,81.68,349.9,13.75,382.8,22.4,541.5,0.0586,0.98,72.1,162.1,12.1
